,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S92000003,2372777,660643,800175,10168,312745,263674,263459,31433,30480
S01006506,424,129,167,1,35,7,60,20,5
S01006507,364,134,121,0,87,3,12,2,5
S01006508,340,84,190,6,19,0,36,2,3
S01006509,274,63,120,9,61,1,17,1,2
S01006510,256,91,78,1,57,1,20,4,4
S01006511,315,152,110,0,19,16,14,1,3
S01006512,170,69,74,0,3,1,16,3,4
S01006513,230,120,88,1,2,0,13,4,2
S01006514,339,147,138,1,7,0,37,4,5
S01006515,271,129,103,1,6,1,30,0,1
S01006516,185,102,51,0,3,1,8,7,13
S01006517,403,204,140,0,27,0,27,0,5
S01006518,247,154,72,0,1,0,17,1,2
S01006519,281,151,110,0,2,0,10,1,7
S01006520,222,84,90,0,1,0,45,2,0
S01006521,243,99,98,0,3,0,41,1,1
S01006522,218,105,95,0,2,0,13,1,2
S01006523,427,215,145,0,9,0,48,6,4
S01006524,314,162,85,0,9,2,39,6,11
S01006525,339,168,115,0,22,2,21,7,4
S01006526,439,70,104,5,150,45,45,17,3
S01006527,286,62,58,0,49,73,31,6,7
S01006528,433,116,109,0,67,53,79,7,2
S01006529,496,85,114,11,51,61,152,9,13
S01006530,356,77,84,1,56,78,44,11,5
S01006531,429,72,83,0,165,37,60,8,4
S01006532,337,138,112,1,6,4,35,37,4
S01006533,305,138,138,1,1,1,20,3,3
S01006534,398,163,164,0,5,1,52,6,7
S01006535,564,130,245,0,12,3,157,13,4
S01006536,589,126,224,0,21,4,183,21,10
S01006537,341,199,114,0,7,0,13,1,7
S01006538,240,132,98,0,3,0,6,0,1
S01006539,330,172,122,0,4,3,23,3,3
S01006540,451,177,181,0,5,2,67,7,12
S01006541,392,163,137,0,30,42,17,2,1
S01006542,496,274,142,1,5,2,59,4,9
S01006543,363,211,133,1,4,0,8,4,2
S01006544,507,161,186,1,4,6,128,12,9
S01006545,586,271,180,3,36,3,78,6,9
S01006546,262,149,95,1,0,0,14,0,3
S01006547,442,156,118,1,130,1,27,6,3
S01006548,312,193,102,0,2,0,10,1,4
S01006549,366,198,108,0,6,2,42,4,6
S01006550,389,235,123,0,1,0,20,1,9
S01006551,392,94,73,0,189,3,21,5,7
S01006552,417,177,176,0,7,2,46,3,6
S01006553,407,159,108,0,34,82,12,4,8
S01006554,330,108,120,2,64,6,20,7,3
S01006555,374,56,123,1,115,28,42,7,2
S01006556,399,80,106,0,176,7,22,4,4
S01006557,338,48,88,0,128,52,19,1,2
S01006558,354,123,124,0,2,0,92,8,5
S01006559,272,97,97,0,4,12,59,1,2
S01006560,432,163,163,3,3,37,50,7,6
S01006561,323,157,126,0,4,1,31,3,1
S01006562,334,130,98,0,38,39,18,9,2
S01006563,366,146,121,0,23,2,37,28,9
S01006564,578,93,151,7,110,55,142,15,5
S01006565,565,69,159,11,66,49,191,15,5
S01006566,437,110,143,0,14,4,132,18,16
S01006567,552,53,135,7,145,16,171,20,5
S01006568,575,81,194,3,15,2,256,16,8
S01006569,311,73,89,0,19,17,107,3,3
S01006570,371,115,131,1,8,0,101,7,8
S01006571,427,126,162,1,9,9,96,12,12
S01006572,374,180,138,0,4,0,48,3,1
S01006573,290,115,115,0,4,0,50,3,3
S01006574,427,165,150,1,6,2,85,2,16
S01006575,399,138,157,1,2,2,85,5,9
S01006576,325,90,135,1,2,2,73,11,11
S01006577,430,108,149,1,10,2,144,5,11
S01006578,633,102,213,6,41,8,227,17,19
S01006579,640,86,196,4,15,2,298,29,10
S01006580,422,95,153,2,11,0,137,12,12
S01006581,402,194,152,0,4,0,40,5,7
S01006582,466,54,112,6,6,49,222,8,9
S01006583,404,34,137,7,13,1,184,19,9
S01006584,354,50,117,1,14,1,143,23,5
S01006585,465,77,71,1,156,3,135,11,11
S01006586,650,81,121,0,104,96,225,16,7
S01006587,318,14,50,2,7,83,151,10,1
S01006588,338,24,69,0,4,40,186,13,2
S01006589,367,19,71,2,92,12,151,18,2
S01006590,379,45,118,4,9,20,166,13,4
S01006591,367,44,120,45,1,19,121,11,6
S01006592,374,61,163,0,2,2,136,8,2
S01006593,411,80,159,3,4,1,151,7,6
S01006594,345,70,84,21,5,53,101,3,8
S01006595,555,93,170,12,10,22,198,35,15
S01006596,359,77,125,0,16,4,131,3,3
S01006597,352,47,124,0,15,4,146,9,7
S01006598,435,154,167,2,2,1,96,3,10
S01006599,499,101,133,7,126,4,104,15,9
S01006600,587,136,185,0,112,10,121,15,8
S01006601,572,154,203,0,16,77,103,11,8
S01006602,414,180,146,1,4,0,64,10,9
S01006603,385,87,105,2,165,1,18,3,4
S01006604,291,100,110,2,64,0,8,4,3
S01006605,409,69,118,5,195,1,12,5,4
S01006606,390,165,125,0,70,0,15,7,8
S01006607,385,115,145,0,105,3,10,2,5
S01006608,284,134,113,0,3,11,13,5,5
S01006609,490,141,152,1,160,3,14,7,12
S01006610,212,71,52,1,78,1,6,3,0
S01006611,425,108,135,0,159,0,16,3,4
S01006612,373,116,179,1,59,2,10,3,3
S01006613,259,63,171,1,2,0,20,0,2
S01006614,265,41,205,0,3,1,12,1,2
S01006615,270,47,199,0,5,2,14,0,3
S01006616,337,71,226,2,7,1,26,1,3
S01006617,297,109,140,6,31,3,7,1,0
