,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S92000003,4379072,1549492,1981516,7150,140954,359704,340256
S01006506,749,294,344,6,16,47,42
S01006507,696,205,361,2,19,49,60
S01006508,552,213,214,1,20,82,22
S01006509,479,130,254,0,7,43,45
S01006510,549,168,259,0,8,43,71
S01006511,633,145,398,2,7,33,48
S01006512,360,69,257,0,7,19,8
S01006513,529,111,287,1,11,38,81
S01006514,809,175,528,0,11,28,67
S01006515,569,117,395,1,7,24,25
S01006516,452,164,234,2,4,25,23
S01006517,808,191,493,0,17,57,50
S01006518,514,97,358,0,7,26,26
S01006519,675,157,451,0,9,32,26
S01006520,505,107,355,0,10,20,13
S01006521,513,105,348,0,14,27,19
S01006522,438,66,325,0,6,16,25
S01006523,766,192,417,2,21,56,78
S01006524,772,273,351,0,17,34,97
S01006525,650,125,426,0,13,40,46
S01006526,784,337,264,0,22,82,79
S01006527,559,240,213,2,17,41,46
S01006528,876,395,344,1,10,66,60
S01006529,790,379,247,0,30,71,63
S01006530,671,297,220,0,27,71,56
S01006531,811,372,278,2,17,86,56
S01006532,644,201,317,0,11,31,84
S01006533,594,163,350,0,10,41,30
S01006534,729,226,415,0,12,43,33
S01006535,912,474,326,1,21,60,30
S01006536,920,545,257,0,21,63,34
S01006537,638,122,423,0,11,27,55
S01006538,480,107,296,2,10,30,35
S01006539,626,171,325,2,19,42,67
S01006540,825,251,485,0,10,37,42
S01006541,680,160,379,0,3,38,100
S01006542,874,207,515,0,23,57,72
S01006543,678,143,439,2,6,33,55
S01006544,930,305,478,3,32,42,70
S01006545,935,283,451,0,27,76,98
S01006546,526,145,320,0,4,20,37
S01006547,769,214,388,3,18,45,101
S01006548,618,119,423,0,8,17,51
S01006549,699,189,417,0,8,32,53
S01006550,821,159,535,0,10,38,79
S01006551,591,191,216,2,33,82,67
S01006552,753,245,370,2,22,59,55
S01006553,726,148,377,0,15,78,108
S01006554,615,192,304,0,17,48,54
S01006555,656,295,223,1,28,75,34
S01006556,707,231,318,4,17,55,82
S01006557,581,226,215,2,27,62,49
S01006558,563,284,195,0,11,37,36
S01006559,513,186,260,0,11,28,28
S01006560,847,255,435,0,15,46,96
S01006561,615,173,357,2,16,36,31
S01006562,608,179,315,0,13,59,42
S01006563,671,201,366,0,13,42,49
S01006564,891,551,193,0,20,77,50
S01006565,953,685,161,0,19,65,23
S01006566,684,407,190,6,11,54,16
S01006567,789,526,151,0,9,71,32
S01006568,876,611,192,0,17,44,12
S01006569,495,267,164,2,12,32,18
S01006570,657,279,288,0,11,52,27
S01006571,748,297,351,2,18,54,26
S01006572,718,156,455,0,16,39,52
S01006573,566,171,317,0,16,40,22
S01006574,809,233,445,2,19,60,50
S01006575,768,298,367,0,22,53,28
S01006576,577,223,287,1,14,33,19
S01006577,682,342,260,1,11,46,22
S01006578,1025,670,224,2,16,72,41
S01006579,914,639,182,1,26,49,17
S01006580,643,368,182,0,12,60,21
S01006581,745,221,422,0,8,43,51
S01006582,817,557,139,0,37,68,16
S01006583,678,537,92,0,12,29,8
S01006584,573,396,110,0,17,40,10
S01006585,734,444,163,0,17,71,39
S01006586,991,637,174,0,28,105,47
S01006587,504,376,80,0,6,36,6
S01006588,551,432,90,1,8,19,1
S01006589,630,460,97,0,21,44,8
S01006590,656,461,125,1,13,49,7
S01006591,654,413,164,1,17,48,11
S01006592,607,386,172,0,9,29,11
S01006593,707,435,189,0,17,41,25
S01006594,508,267,137,0,6,48,50
S01006595,852,526,217,0,28,63,18
S01006596,639,319,237,2,14,35,32
S01006597,498,380,57,0,13,39,9
S01006598,805,282,434,2,13,47,27
S01006599,751,363,209,2,25,90,62
S01006600,978,390,374,1,25,73,115
S01006601,899,461,307,0,25,73,33
S01006602,737,218,361,2,9,55,92
S01006603,704,258,259,2,27,78,80
S01006604,587,185,292,0,16,47,47
S01006605,658,243,218,0,27,87,83
S01006606,732,214,374,3,14,59,68
S01006607,769,269,343,5,16,77,59
S01006608,598,142,364,0,15,37,40
S01006609,886,292,380,0,30,89,95
S01006610,386,132,156,0,9,40,49
S01006611,772,284,331,0,25,59,73
S01006612,741,228,384,3,13,59,54
S01006613,493,151,278,2,19,32,11
S01006614,491,139,290,2,19,32,9
S01006615,563,149,356,0,12,38,8
S01006616,665,272,330,0,16,37,10
S01006617,574,175,299,0,11,44,45
S01006618,469,130,267,0,8,37,27
S01006619,744,227,389,0,18,69,41
S01006620,738,214,397,0,19,54,54
S01006621,428,137,226,0,10,35,20
S01006622,549,197,284,0,13,42,13
S01006623,670,267,241,0,16,72,74
S01006624,891,520,236,3,20,86,26
S01006625,547,206,249,0,22,35,35
S01006626,614,297,179,0,16,71,51
S01006627,773,415,194,2,43,91,28
S01006628,978,567,255,2,35,100,19
S01006629,650,255,218,4,25,70,78
S01006630,489,196,181,1,15,63,33
S01006631,805,353,243,1,28,98,82
S01006632,658,315,190,1,24,99,29
S01006633,529,219,199,0,19,55,37
S01006634,465,234,126,3,22,59,21
S01006635,522,181,243,1,15,54,28
S01006636,641,276,206,0,33,85,41
S01006637,699,362,196,0,22,55,64
S01006638,795,540,141,2,21,60,31
S01006639,900,584,147,0,17,77,75
S01006640,684,518,122,0,11,25,8
S01006641,980,672,183,0,26,65,34
S01006642,1332,1113,145,2,12,41,19
S01006643,709,560,103,0,9,35,2
S01006644,915,654,149,2,32,56,22
S01006645,577,319,130,1,27,71,29
S01006646,979,824,86,0,10,21,38
S01006647,550,297,132,0,14,79,28
S01006648,1730,1463,180,0,27,53,7
S01006649,892,621,154,2,28,75,12
S01006650,813,583,153,4,14,43,16
S01006651,612,390,135,0,6,53,28
S01006652,516,383,83,2,10,32,6
S01006653,513,305,151,2,5,36,14
S01006654,798,433,191,0,26,88,60
S01006655,650,346,205,0,20,56,23
S01006656,858,557,188,0,19,73,21
S01006657,482,319,99,2,16,38,8
S01006658,878,588,190,0,28,46,26
S01006659,594,402,133,0,10,21,28
S01006660,425,292,87,0,12,27,7
S01006661,590,371,164,2,4,25,24
S01006662,738,556,123,0,11,43,5
S01006663,522,403,82,0,6,19,12
S01006664,471,336,92,2,4,21,16
S01006665,681,509,115,0,13,19,25
S01006666,742,286,222,3,41,112,78
S01006667,653,354,159,0,22,97,21
S01006668,858,676,118,0,18,27,19
S01006669,1161,766,213,1,24,97,60
S01006670,901,665,123,1,8,61,43
S01006671,2355,2107,176,1,14,38,19
S01006672,685,387,149,2,25,81,41
S01006673,760,475,195,5,17,52,16
S01006674,779,294,240,0,28,125,92
S01006675,530,235,172,1,31,79,12
S01006676,606,239,234,4,22,62,45
S01006677,621,318,178,2,23,71,29
