,All people aged 16 and over in households,Living in a couple: Married or in a registered same-sex civil partnership,Living in a couple: Cohabiting,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
S92000003,4283213,1934819,474601,1151928,35243,115487,264122,307013
S01006506,731,340,108,184,10,13,34,42
S01006507,696,356,82,151,5,15,30,57
S01006508,552,204,108,136,12,14,57,21
S01006509,479,246,44,98,7,4,35,45
S01006510,482,240,52,117,3,5,23,42
S01006511,631,396,40,119,2,6,22,46
S01006512,346,258,14,47,1,5,13,8
S01006513,449,266,42,73,5,5,20,38
S01006514,719,516,24,119,2,9,19,30
S01006515,569,392,34,94,4,5,15,25
S01006516,395,228,42,88,0,4,11,22
S01006517,808,488,62,153,8,7,42,48
S01006518,514,354,22,88,6,4,15,25
S01006519,618,436,18,111,10,8,23,12
S01006520,505,354,36,86,1,7,10,11
S01006521,512,344,40,85,4,10,12,17
S01006522,438,322,12,62,3,5,10,24
S01006523,766,416,60,151,7,15,39,78
S01006524,584,300,54,125,11,13,25,56
S01006525,650,422,18,119,4,12,32,43
S01006526,784,256,89,271,8,17,66,77
S01006527,550,210,68,173,3,14,36,46
S01006528,823,316,84,288,15,9,51,60
S01006529,787,226,90,308,18,24,59,62
S01006530,664,212,66,248,6,24,53,55
S01006531,807,262,82,305,20,12,71,55
S01006532,603,306,50,146,7,6,23,65
S01006533,579,338,52,127,5,4,26,27
S01006534,729,404,102,147,9,12,24,31
S01006535,912,304,194,305,17,16,48,28
S01006536,918,244,208,348,11,19,55,33
S01006537,638,422,24,104,1,9,23,55
S01006538,480,292,50,77,1,8,17,35
S01006539,592,320,78,103,3,14,27,47
S01006540,825,468,80,183,10,9,33,42
S01006541,680,374,62,106,5,3,30,100
S01006542,873,510,74,159,5,17,38,70
S01006543,678,434,46,114,3,4,22,55
S01006544,879,436,100,212,37,30,31,33
S01006545,935,438,88,210,14,23,66,96
S01006546,522,316,38,115,5,1,12,35
S01006547,769,382,67,168,7,16,30,99
S01006548,618,420,34,94,1,8,11,50
S01006549,699,412,74,137,5,4,18,49
S01006550,783,520,64,115,7,9,16,52
S01006551,591,210,58,153,3,28,75,64
S01006552,753,370,80,179,5,18,49,52
S01006553,706,368,67,113,7,12,49,90
S01006554,595,292,84,126,9,16,31,37
S01006555,605,202,94,200,9,21,54,25
S01006556,707,314,78,178,6,14,40,77
S01006557,581,216,80,163,3,22,51,46
S01006558,563,192,98,194,3,9,31,36
S01006559,513,254,56,142,3,7,23,28
S01006560,799,420,58,200,12,11,33,65
S01006561,615,352,56,133,7,12,24,31
S01006562,593,306,52,139,7,9,38,42
S01006563,670,352,62,154,13,8,34,47
S01006564,888,182,128,436,9,19,64,50
S01006565,815,150,126,441,10,16,51,21
S01006566,675,182,128,289,12,8,40,16
S01006567,789,134,126,409,17,8,63,32
S01006568,876,182,208,413,10,16,37,10
S01006569,495,154,90,190,10,9,24,18
S01006570,649,278,96,204,8,8,29,26
S01006571,746,346,90,224,8,13,39,26
S01006572,714,444,46,127,11,12,26,48
S01006573,566,312,58,126,5,14,29,22
S01006574,785,422,72,179,16,18,41,37
S01006575,729,348,102,197,11,16,30,25
S01006576,575,276,72,159,10,13,26,19
S01006577,682,252,118,238,9,7,37,21
S01006578,961,206,188,476,11,14,47,19
S01006579,914,160,178,470,23,24,44,15
S01006580,638,170,124,261,11,7,44,21
S01006581,745,410,70,168,13,5,29,50
S01006582,743,112,134,392,24,23,42,16
S01006583,678,84,112,431,8,10,25,8
S01006584,573,104,108,296,8,14,33,10
S01006585,734,138,108,347,23,15,66,37
S01006586,989,154,150,506,18,25,91,45
S01006587,500,74,104,281,5,5,27,4
S01006588,550,76,94,340,15,7,17,1
S01006589,630,84,124,355,15,15,29,8
S01006590,591,100,114,316,16,9,31,5
S01006591,624,140,122,285,18,14,34,11
