,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S01000226,302,125,123,1,-,1,44,4,4
S01000227,537,136,296,1,9,2,80,6,7
S01000228,453,80,186,3,24,64,79,10,7
S01000229,409,99,114,-,159,6,20,3,8
S01000230,319,64,145,-,79,1,19,4,7
S01000231,318,121,175,-,1,-,16,4,1
S01000232,293,76,90,-,111,-,9,3,4
S01000233,271,63,72,1,115,2,14,-,4
S01000234,334,143,168,2,2,-,10,3,6
S01000235,343,102,199,5,4,1,24,5,3
S01000236,299,164,86,1,38,-,5,1,4
S01000237,368,219,107,-,8,-,15,12,7
S01000238,235,70,138,2,1,-,19,4,1
S01000239,295,169,100,-,8,1,11,1,5
S01000240,287,127,125,-,25,-,8,1,1
S01000241,212,90,119,-,1,-,1,1,-
S01000242,341,103,170,1,25,-,32,5,5
S01000243,262,150,100,1,1,2,6,-,2
S01000244,573,167,227,35,92,11,30,3,8
S01000245,392,129,203,-,6,35,16,2,1
S01000246,283,100,125,2,35,-,14,2,5
S01000247,273,141,122,-,-,3,6,-,1
S01000248,342,154,167,1,2,-,14,4,-
S01000249,281,109,118,1,32,-,15,2,4
S01000250,288,114,155,1,6,-,10,2,-
S01000251,150,59,83,-,1,-,4,-,3
S01000252,345,91,215,5,2,1,28,3,-
S01000253,221,103,109,-,1,1,4,1,2
S01000254,339,120,181,-,11,2,20,3,2
S01000255,273,74,166,8,2,-,20,2,1
S01000256,416,189,101,-,76,1,33,6,10
S01000257,408,164,146,-,47,3,36,2,10
S01000258,240,83,139,3,2,2,6,2,3
S01000259,223,75,133,-,1,1,12,1,-
S01000260,334,54,234,13,1,1,26,3,2
S01000261,400,207,154,-,12,1,17,1,8
S01000262,410,194,142,1,24,16,20,6,7
S01000263,302,70,180,1,3,-,40,4,4
S01000264,419,122,169,-,91,4,21,8,4
S01000265,339,119,113,-,87,6,11,3,-
S01000266,530,144,205,-,69,40,53,7,12
S01000267,292,102,114,-,62,-,9,2,3
S01000268,354,104,104,1,90,26,21,5,3
S01000269,248,104,108,2,5,2,23,1,3
S01000270,429,152,168,1,18,11,56,3,20
S01000271,370,118,134,-,57,19,23,2,17
S01000272,442,151,159,5,23,40,46,11,7
S01000273,243,64,117,1,2,2,33,9,15
S01000274,289,83,122,2,59,1,13,4,5
S01000275,608,163,247,1,138,4,43,4,8
S01000276,282,112,149,-,5,3,8,3,2
S01000277,298,95,131,2,34,20,9,1,6
S01000278,285,65,85,-,90,34,7,-,4
S01000279,353,138,149,-,2,-,47,7,10
S01000280,294,87,111,-,45,4,23,6,18
S01000281,298,80,67,-,29,24,67,8,23
S01000282,304,70,137,-,31,14,32,4,16
S01000283,430,127,178,-,43,12,53,5,12
S01000284,452,133,241,-,9,2,45,10,12
S01000285,278,106,121,1,16,1,14,2,17
S01000286,485,150,151,2,64,35,67,4,12
S01000287,302,148,101,-,3,1,40,3,6
S01000288,333,119,163,-,28,6,11,3,3
S01000289,419,110,136,-,119,12,23,9,10
S01000290,367,69,111,-,137,34,11,1,4
S01000291,344,118,152,-,46,5,16,4,3
S01000292,424,187,144,1,17,30,38,5,2
S01000293,478,147,111,1,51,77,71,13,7
S01000294,249,49,151,-,39,-,9,1,-
S01000295,221,124,80,1,1,-,10,-,5
S01000296,385,126,175,4,5,27,42,5,1
S01000297,301,115,105,2,30,40,6,1,2
S01000298,393,121,204,1,5,37,20,-,5
S01000299,392,217,109,-,5,-,41,5,15
S01000300,279,109,110,1,4,1,45,3,6
S01000301,245,90,41,-,28,12,32,10,32
S01000302,225,87,52,1,1,8,52,5,19
S01000303,258,93,34,-,1,2,86,7,35
S01000304,291,127,152,-,2,1,7,1,1
S01000305,450,171,170,10,59,12,17,4,7
S01000306,294,116,107,1,9,2,50,2,7
S01000307,344,95,214,12,11,1,9,2,-
S01000308,484,186,222,2,2,6,50,7,9
S01000309,465,156,139,12,3,23,89,8,35
S01000310,366,108,229,5,2,2,11,3,6
S01000311,424,180,137,7,10,8,72,2,8
S01000312,246,111,60,-,12,2,46,8,7
S01000313,312,116,107,-,34,34,12,5,4
S01000314,240,76,130,-,21,1,10,1,1
S01000315,266,140,77,-,19,4,18,3,5
S01000316,444,176,90,-,93,36,38,5,6
S01000317,264,70,63,-,82,25,17,4,3
S01000318,220,132,65,-,3,2,11,3,4
S01000319,238,67,158,7,-,-,2,2,2
S01000320,332,112,192,1,3,1,16,6,1
S01000321,229,106,100,1,-,6,13,1,2
S01000322,394,201,162,-,-,-,25,3,3
S01000323,364,114,115,-,101,5,21,4,4
S01000324,312,88,205,1,2,3,10,2,1
S01000325,490,142,246,2,48,2,41,7,2
S01000326,337,67,153,-,54,53,5,2,3
S01000327,308,137,154,-,2,4,8,-,3
S01000328,199,45,118,-,4,23,6,1,2
S01000329,318,60,194,9,9,34,7,2,3
S01000330,471,156,158,1,5,59,67,8,17
S01000331,280,109,85,-,65,4,9,4,4
S01000332,319,149,94,1,7,22,31,9,6
S01000333,355,122,141,5,-,2,66,12,7
S01000334,403,127,130,9,84,28,15,7,3
S01000335,339,121,122,8,47,25,11,2,3
S01000336,530,146,244,5,3,52,73,3,4
S01000337,354,163,88,-,12,2,77,2,10
S01000338,197,58,56,-,12,2,63,2,4
S01000339,461,190,173,-,50,15,26,2,5
S01000340,423,138,116,2,14,12,123,4,14
S01000341,430,164,87,3,16,13,113,13,21
S01000342,213,65,53,-,52,14,23,-,6
S01000343,216,85,58,-,6,-,60,1,6
S01000344,396,159,149,2,30,14,27,4,11
S01000345,255,105,122,2,4,11,9,-,2
S01000346,274,122,112,3,7,15,13,-,2
S01000347,552,124,304,-,22,24,69,5,4
S01000348,316,141,143,-,2,3,19,6,2
S01000349,254,81,102,-,51,-,14,3,3
S01000350,390,136,215,1,11,2,20,3,2
S01000351,378,141,194,-,-,6,29,5,3
S01000352,301,167,116,-,2,-,10,2,4
S01000353,215,87,114,-,3,1,8,-,2
S01000354,571,116,298,22,5,48,68,10,4
S01000355,234,104,119,-,-,2,6,-,3
S01000356,240,112,91,-,1,1,27,3,5
S01000357,220,79,130,-,-,1,7,1,2
S01000358,358,175,169,-,1,1,9,2,1
S01000359,280,121,138,2,-,1,14,-,4
S01000360,253,80,43,1,20,1,71,5,32
S01000361,254,80,74,-,1,-,65,6,28
S01000362,401,157,161,1,27,4,35,7,9
S01000363,454,179,186,-,6,6,50,8,19
S01000364,372,146,128,1,6,1,69,5,16
S01000365,762,133,491,3,29,36,58,8,4
S01000366,742,191,446,-,23,27,42,2,11
S01000367,358,174,113,1,21,2,37,3,7
S01000368,545,186,220,1,37,41,44,5,11
S01000369,396,181,153,1,20,4,25,4,8
S01000370,547,160,324,1,5,22,28,4,3
S01000371,427,169,125,-,99,1,22,6,5
S01000372,400,118,161,1,80,14,20,2,4
S01000373,264,98,126,-,7,21,7,1,4
S01000374,275,135,103,-,24,1,9,-,3
S01000375,275,43,97,1,101,27,4,2,-
S01000376,350,85,109,-,119,28,8,1,-
S01000377,353,133,151,-,6,-,50,7,6
S01000378,196,58,69,-,63,1,2,3,-
S01000379,248,96,132,-,2,2,12,3,1
S01000380,366,136,193,-,12,4,18,1,2
S01000381,601,223,305,-,40,4,23,1,5
S01000382,321,129,89,-,28,2,56,2,15
S01000383,470,125,233,9,25,38,35,4,1
S01000384,322,119,82,-,34,14,64,3,6
S01000385,267,36,121,3,40,46,17,4,-
S01000386,535,172,180,12,46,70,42,7,6
S01000387,372,149,141,1,53,1,23,1,3
S01000388,387,132,200,-,5,3,35,3,9
S01000389,306,40,199,12,3,36,14,1,1
S01000390,349,80,121,-,94,29,21,-,4
S01000391,330,119,86,16,18,35,43,10,3
S01000392,314,118,164,1,4,2,22,2,1
S01000393,395,167,124,-,48,37,15,2,2
S01000394,296,57,93,1,54,71,17,1,2
S01000395,309,114,141,2,21,1,20,4,6
S01000396,441,104,89,-,190,33,10,4,11
S01000397,448,171,147,1,103,11,12,2,1
S01000398,851,221,503,-,12,26,58,4,27
S01000399,305,88,85,3,35,18,62,9,5
S01000400,426,148,116,3,96,4,47,5,7
S01000401,348,146,136,1,13,2,38,4,8
S01000402,340,135,128,1,4,44,24,1,3
S01000403,361,150,123,-,45,5,28,5,5
S01000404,290,109,144,-,4,13,15,2,3
S01000405,192,86,76,-,3,2,14,5,6
S01000406,266,70,98,-,57,4,31,3,3
S01000407,270,51,93,-,101,5,17,2,1
S01000408,242,83,141,-,3,2,11,1,1
S01000409,234,72,137,7,1,2,9,3,3
S01000410,273,117,95,-,3,3,32,8,15
S01000411,275,88,125,1,12,1,40,1,7
S01000412,321,105,125,-,38,3,33,8,9
S01000413,350,148,147,-,25,8,14,4,4
S01000414,277,89,144,-,13,11,16,1,3
S01000415,414,111,176,-,73,34,14,2,4
S01000416,359,77,193,10,56,3,16,4,-
S01000417,432,160,153,1,83,11,19,1,4
S01000418,304,139,100,-,9,3,39,7,7
S01000419,531,108,303,4,6,37,60,3,10
S01000420,537,162,233,4,71,19,36,5,7
S01000421,292,84,162,1,18,1,20,2,4
S01000422,388,143,157,-,51,4,27,2,4
S01000423,375,167,163,1,9,3,26,2,4
S01000424,289,93,145,2,11,4,21,4,9
S01000425,369,136,121,-,45,23,33,4,7
S01000426,301,129,130,-,16,1,21,1,3
S01000427,348,118,165,-,1,2,48,8,6
S01000428,275,122,126,-,3,-,23,1,-
S01000429,409,207,160,2,4,-,23,2,11
S01000430,216,96,79,-,5,16,15,5,-
S01000431,347,104,73,-,85,48,28,4,5
S01000432,435,240,158,-,6,2,19,4,6
S01000433,248,72,63,-,99,2,11,1,-
S01000434,253,51,101,-,81,3,12,1,4
S01000435,224,74,88,-,45,-,14,1,2
S01000436,237,83,143,-,1,-,6,2,2
S01000437,412,151,173,-,45,2,35,3,3
S01000438,215,101,99,1,-,-,10,2,2
S01000439,316,79,119,-,9,2,85,6,16
S01000440,450,166,198,1,31,-,32,8,14
S01000441,394,138,115,-,57,13,48,11,12
S01000442,326,125,135,1,3,3,49,3,7
S01000443,241,97,108,-,1,1,29,1,4
S01000444,854,169,569,5,3,41,51,8,8
S01000445,516,202,212,-,61,7,29,1,4
S01000446,386,141,181,-,7,2,46,4,5
S01000447,306,79,139,2,68,7,9,1,1
S01000448,331,114,138,-,5,7,44,8,15
S01000449,329,94,106,-,101,4,13,7,4
S01000450,254,115,117,-,4,1,12,1,4
S01000451,371,128,135,-,43,3,47,2,13
S01000452,226,86,89,-,4,2,39,-,6
S01000453,225,81,90,-,6,-,38,4,6
S01000454,216,76,46,1,65,4,19,2,3
S01000455,341,112,138,1,56,3,26,-,5
S01000456,435,163,130,7,15,40,60,4,16
S01000457,392,179,81,11,76,3,33,4,5
S01000458,346,125,164,-,5,2,36,6,8
S01000459,496,198,132,1,76,36,43,5,5
S01000460,322,84,58,1,148,12,9,7,3
S01000461,463,123,98,-,127,52,52,8,3
S01000462,450,124,127,1,118,35,29,4,12
S01000463,291,75,112,2,49,17,22,9,5
S01000464,338,141,105,1,25,1,54,4,7
S01000465,272,118,111,-,7,1,22,1,12
S01000466,322,120,127,-,8,-,52,6,9
S01000467,294,94,110,-,70,3,15,1,1
S01000468,202,86,82,-,2,2,24,2,4
S01000469,246,91,121,1,13,3,10,2,5
S01000470,358,172,153,-,4,16,3,3,7
S01000471,316,84,175,2,35,3,8,5,4
S01000472,289,86,128,-,16,44,14,1,-
S01000473,292,92,93,1,13,81,10,1,1
S01000474,247,78,80,-,15,2,57,6,9
S01000475,305,77,97,-,48,58,17,6,2
S01000476,253,104,86,2,30,1,19,3,8
S01000477,311,136,102,1,47,7,10,1,7
S01000478,386,128,98,1,111,10,29,3,6
S01000479,398,159,89,-,111,10,21,2,6
S01000480,282,107,107,-,36,4,23,3,2
S01000481,756,229,361,-,14,105,31,6,10
S01000482,439,84,73,1,62,107,96,6,10
S01000483,522,150,137,1,82,105,32,9,6
S01000484,366,96,106,4,45,16,86,8,5
S01000485,417,198,174,-,9,3,25,2,6
S01000486,573,73,67,3,141,145,137,5,2
S01000487,273,113,84,-,9,34,26,3,4
S01000488,307,78,83,-,107,26,8,2,3
S01000489,451,99,53,2,222,22,43,7,3
S01000490,243,74,132,-,3,1,28,2,3
S01000491,247,36,55,-,116,6,25,5,4
S01000492,370,88,110,-,118,12,33,4,5
S01000493,295,116,102,-,36,13,17,1,10
S01000494,233,63,76,2,57,9,22,1,3
S01000495,354,186,126,1,13,8,14,3,3
S01000496,217,109,88,-,5,-,9,3,3
S01000497,332,110,122,1,63,2,27,3,4
S01000498,247,138,67,-,31,-,7,-,4
S01000499,433,156,157,10,29,50,23,4,4
S01000500,231,58,75,-,84,6,7,1,-
S01000501,288,104,77,-,69,31,6,-,1
S01000502,221,102,82,1,6,-,19,2,9
S01000503,191,88,77,2,1,-,19,1,3
S01000504,411,127,124,5,56,33,50,7,9
S01000505,298,126,100,-,22,19,11,1,19
S01000506,381,123,188,1,7,2,43,5,12
S01000507,476,126,155,-,156,6,27,2,4
S01000508,359,164,131,-,26,1,27,1,9
S01000509,467,199,150,2,73,8,21,4,10
S01000510,309,123,82,-,60,4,23,6,11
S01000511,233,97,91,-,16,6,14,-,9
S01000512,421,179,162,-,41,14,19,1,5
S01000513,396,127,85,-,116,23,35,3,7
S01000514,367,170,109,-,7,47,25,7,2
S01000515,209,89,94,-,3,1,19,2,1
S01000516,338,112,164,2,42,-,11,3,4
S01000517,318,120,105,2,57,7,18,5,4
S01000518,434,162,131,-,87,11,25,7,11
S01000519,196,92,70,1,2,1,17,6,7
S01000520,448,225,135,-,53,1,15,8,11
S01000521,415,134,110,-,132,1,28,2,8
S01000522,261,139,92,-,5,2,13,4,6
S01000523,342,80,81,-,151,3,20,6,1
S01000524,260,124,82,-,6,-,34,4,10
S01000525,416,202,120,-,30,2,37,7,18
S01000526,382,180,101,-,9,1,62,15,14
S01000527,256,124,106,1,6,-,11,2,6
S01000528,368,164,119,-,18,3,43,7,14
S01000529,325,168,110,-,7,-,25,3,12
S01000530,197,96,65,-,2,-,24,4,6
S01000531,259,130,87,-,14,-,21,-,7
S01000532,366,136,75,1,79,40,23,4,8
S01000533,319,151,95,2,51,-,13,2,5
S01000534,357,111,86,-,128,13,7,8,4
S01000535,453,137,140,-,152,6,14,3,1
S01000536,203,70,50,2,30,-,42,3,6
S01000537,372,135,157,1,17,24,22,8,8
S01000538,338,111,95,1,108,6,13,1,3
S01000539,507,153,116,2,67,86,66,9,8
S01000540,344,132,106,-,56,34,11,2,3
S01000541,266,88,77,2,70,4,18,1,6
S01000542,301,108,73,-,98,4,11,1,6
S01000543,330,163,93,-,62,4,3,1,4
S01000544,306,141,84,3,37,-,26,5,10
S01000545,328,110,104,1,56,19,32,3,3
S01000546,368,112,119,1,119,1,10,3,3
S01000547,238,112,70,-,38,2,12,-,4
S01000548,481,207,131,-,92,6,34,4,7
S01000549,426,208,191,-,8,2,10,1,6
S01000550,177,101,62,-,4,3,6,-,1
S01000551,412,208,103,1,58,11,21,1,9
S01000552,214,126,66,-,6,2,10,2,2
S01000553,378,181,137,-,29,12,8,2,9
S01000554,282,42,72,-,103,40,21,1,3
S01000555,389,136,87,1,123,21,12,2,7
S01000556,330,73,83,-,151,7,12,4,-
S01000557,380,139,138,-,47,33,22,1,-
S01000558,231,121,71,1,10,2,20,1,5
S01000559,313,111,94,-,78,4,21,3,2
S01000560,483,84,115,-,174,39,66,4,1
S01000561,512,128,109,1,155,56,51,2,10
S01000562,411,92,91,1,190,13,21,2,1
S01000563,515,73,79,4,138,66,145,9,1
S01000564,399,55,55,4,216,31,36,1,1
S01000565,324,87,104,-,104,6,10,4,9
S01000566,351,125,82,5,60,47,24,5,3
S01000567,371,106,82,-,156,1,21,3,2
S01000568,225,93,80,-,37,3,5,3,4
S01000569,334,143,124,-,36,1,24,1,5
S01000570,408,195,138,-,44,1,19,1,10
S01000571,453,163,130,15,10,80,45,5,5
S01000572,305,147,133,-,12,-,8,1,4
S01000573,204,89,102,-,5,-,6,1,1
S01000574,350,219,92,3,11,2,7,4,12
S01000575,305,126,110,1,40,-,15,6,7
S01000576,237,132,92,-,3,1,3,3,3
S01000577,237,120,92,-,12,1,9,1,2
S01000578,286,115,125,-,30,1,10,1,4
S01000579,331,144,167,-,2,1,13,1,3
S01000580,374,141,182,1,7,3,31,2,7
S01000581,297,149,122,-,6,1,16,2,1
S01000582,279,57,121,4,56,17,18,3,3
S01000583,386,103,218,1,32,3,20,4,5
S01000584,407,105,146,-,106,6,31,6,7
S01000585,588,170,181,1,95,36,85,11,9
S01000586,308,115,127,-,32,-,25,6,3
S01000587,316,100,99,-,81,8,18,2,8
S01000588,257,118,88,1,17,2,22,1,8
S01000589,328,143,109,1,31,2,31,6,5
S01000590,330,140,125,1,15,1,41,3,4
S01000591,341,124,150,-,3,42,14,6,2
S01000592,392,168,136,-,42,18,17,6,5
S01000593,504,134,249,4,12,15,51,18,21
