"DZ_CODE","unmarriedPCTZscore","livingalonePCTZscore","rentedPCTZscore","movedPCTZscore","SFI","LAname"
"S01000853",0.54,0.242993025828865,-0.490101390926335,-0.24465776820873,-0.563084351519979,"Clackmannanshire"
"S01000854",0.44,0.0313502514758275,-0.416949725593696,-0.404455819041964,-1.13914444545041,"Clackmannanshire"
"S01000855",-0.3,-0.251839696577165,-0.384353081876171,-0.493539947036923,-1.03044147769466,"Clackmannanshire"
"S01000856",-0.44,-0.534655186454047,-0.291739825950132,-0.646095316280446,-1.04274361763756,"Clackmannanshire"
"S01000857",-0.24,-0.649022363586093,-0.60471389647041,-0.255330939746859,-1.15477839476477,"Clackmannanshire"
"S01000858",-0.81,-0.994342902025134,-0.571850708728171,-0.240402958323395,0.0409923268520942,"Clackmannanshire"
"S01000859",-0.98,-1.00571374850885,-0.576230013701661,-0.565664868844149,-0.834009781555594,"Clackmannanshire"
"S01000860",0.88,0.588534023022506,-0.0239231219181363,0.714712021635914,-0.123831815151424,"Clackmannanshire"
"S01000861",-0.75,-0.724293659476728,-0.63520551396321,-0.439089560978976,-0.515656987735368,"Clackmannanshire"
"S01000862",-1.11,-1.10079887864809,-0.740923161454694,-0.639435984310662,-0.0288903489304301,"Clackmannanshire"
"S01000863",0.07,0.357966683844846,-0.800296430806817,-0.645909058693399,-0.168114407197311,"Clackmannanshire"
"S01000864",-0.87,-0.918232435479316,-0.839581000002207,-0.699327480381993,-0.223488134668435,"Clackmannanshire"
"S01000865",-0.23,-0.435670922332985,-0.297730434742391,-0.0205692156266486,0.274855538835963,"Clackmannanshire"
"S01000866",-0.08,-0.139649429616874,-0.816988075666696,-0.701305078392754,-0.8670193620555,"Clackmannanshire"
"S01000867",0.9,0.413260023595394,-0.369253094496926,0.170597586497911,0.869936928769401,"Clackmannanshire"
"S01000868",0.34,0.368608402540361,-0.453325690321948,-0.585136625853342,0.485435319169624,"Clackmannanshire"
"S01000869",0.58,-0.00422415026449806,-0.502098844823058,0.189767065909403,0.536639981144954,"Clackmannanshire"
"S01000870",0.66,0.221216271009965,-0.657228311886038,-0.294165158444976,-0.502182559776056,"Clackmannanshire"
"S01000871",-0.55,-0.692090363623205,-0.503573844988941,-0.366812310947306,0.81774769514606,"Clackmannanshire"
"S01000872",-1.04,-0.747248773382422,-0.164396599051829,-1.00220908606198,-0.477838450346711,"Clackmannanshire"
"S01000873",0.04,-1.00831930398787,-0.283668776357986,0.486032845946519,-0.519549590513357,"Clackmannanshire"
"S01000874",0.91,0.698941756978464,-0.284372862410561,0.0589377171676333,0.878790257382542,"Clackmannanshire"
