,All people aged 16 and over in households,Living in a couple: Married or in a registered same-sex civil partnership,Living in a couple: Cohabiting,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
S01000197,477,236,48,106,1,14,46,26
S01000198,639,238,62,218,3,20,55,43
S01000199,662,200,85,229,16,26,77,29
S01000200,719,220,120,246,5,18,63,47
S01000201,521,196,80,144,3,15,46,37
S01000202,820,264,148,291,12,23,42,40
S01000203,530,152,86,179,18,27,58,10
S01000204,482,194,66,131,5,9,46,31
S01000205,698,212,92,292,23,18,45,16
S01000206,579,302,80,124,4,11,39,19
S01000207,779,234,94,220,7,18,114,92
S01000208,725,234,112,237,9,29,61,43
S01000209,985,298,154,374,13,42,83,21
S01000210,605,158,88,253,5,16,65,20
S01000211,606,224,64,198,13,15,50,42
S01000212,588,230,82,151,3,20,51,51
S01000213,638,172,90,253,9,15,64,35
S01000214,388,182,52,65,6,9,31,43
S01000215,797,458,108,166,12,8,26,19
S01000216,581,294,74,146,1,10,34,22
S01000217,653,218,103,214,10,17,62,29
S01000218,596,300,66,95,6,10,47,72
S01000219,668,192,118,203,12,29,72,42
S01000220,602,204,70,226,9,14,46,33
S01000221,659,148,118,227,8,32,59,67
S01000222,637,288,82,161,2,17,35,52
S01000223,529,210,110,129,9,18,35,18
S01000224,672,314,80,161,4,19,37,57
S01000225,498,242,58,111,6,14,29,38
S01000226,540,264,70,146,4,9,20,27
S01000227,1027,530,150,250,15,22,37,23
S01000228,713,188,166,223,13,29,73,21
S01000229,707,264,108,170,4,24,54,83
S01000230,549,212,78,159,3,16,39,42
S01000231,599,348,58,142,-,13,23,15
S01000232,527,194,48,143,7,16,46,73
S01000233,447,196,34,87,8,14,36,72
S01000234,629,368,72,115,3,10,26,35
S01000235,649,328,88,163,5,12,33,20
S01000236,585,344,54,104,5,6,22,50
S01000237,728,472,48,121,3,3,27,54
S01000238,421,216,68,99,-,8,23,7
S01000239,607,348,52,122,3,8,25,49
S01000240,566,336,42,121,3,4,25,35
S01000241,507,340,40,100,3,5,6,13
S01000242,624,314,74,158,2,17,32,27
S01000243,553,386,32,78,7,7,16,27
S01000244,1005,408,182,245,10,21,65,74
S01000245,793,456,66,164,5,18,38,46
S01000246,591,332,46,130,7,12,29,35
S01000247,567,376,52,87,6,4,18,24
S01000248,651,370,70,137,7,9,28,30
S01000249,569,346,52,100,3,12,24,32
S01000250,619,390,42,131,5,7,28,16
S01000251,378,234,22,101,-,6,5,10
S01000252,665,338,98,173,-,7,33,16
S01000253,540,368,18,119,6,7,12,10
S01000254,672,402,70,135,5,8,19,33
S01000255,500,246,70,134,2,10,31,7
S01000256,718,414,56,98,5,6,32,107
S01000257,761,468,66,127,11,7,31,51
S01000258,505,280,66,115,3,2,22,17
S01000259,495,316,46,106,2,5,10,10
S01000260,667,360,106,138,9,17,29,8
S01000261,800,496,68,144,9,10,33,40
S01000262,779,434,80,153,13,17,31,51
S01000263,588,334,80,103,2,18,39,12
S01000264,773,394,90,149,8,8,56,68
S01000265,596,298,46,123,8,19,40,62
S01000266,1002,520,123,200,16,14,35,94
S01000267,563,284,56,122,12,13,26,50
S01000268,653,354,66,119,8,18,32,56
S01000269,505,332,38,78,4,7,17,29
S01000270,849,510,92,152,3,12,32,48
S01000271,704,384,78,133,11,17,44,37
S01000272,894,458,100,210,8,17,41,60
S01000273,484,296,70,70,5,14,18,11
S01000274,548,264,72,123,4,9,37,39
S01000275,1149,650,142,196,5,19,39,98
S01000276,620,396,54,115,1,12,16,26
S01000277,566,328,64,102,5,8,23,36
S01000278,485,204,60,113,6,10,31,61
S01000279,715,460,100,100,4,13,12,26
S01000280,595,304,106,112,6,13,26,28
S01000281,556,278,76,115,1,9,22,55
S01000282,586,342,84,105,-,14,21,20
S01000283,841,510,120,117,9,17,34,34
S01000284,944,622,80,162,8,11,21,40
S01000285,580,370,44,109,5,6,19,27
S01000286,797,334,116,203,9,24,57,54
S01000287,557,312,52,104,8,13,35,33
S01000288,678,382,64,137,5,15,39,36
S01000289,731,308,130,154,7,16,49,67
S01000290,643,222,106,195,2,18,60,40
S01000291,718,464,44,132,1,11,27,39
S01000292,836,482,72,168,7,13,40,54
S01000293,743,280,94,159,6,22,63,119
S01000294,510,312,40,97,3,9,25,24
S01000295,452,312,16,73,-,6,10,35
S01000296,728,442,72,120,12,20,32,30
S01000297,627,326,56,153,6,14,35,37
S01000298,841,486,92,176,12,10,38,27
S01000299,797,516,38,138,6,13,26,60
S01000300,609,368,62,127,5,8,20,19
S01000301,433,244,42,66,5,5,28,43
S01000302,488,316,56,74,3,6,13,20
S01000303,480,288,64,66,4,7,26,25
S01000304,645,454,30,110,3,8,17,23
S01000305,864,468,98,170,4,22,49,53
S01000306,622,406,58,99,5,12,10,32
S01000307,729,412,90,151,4,14,29,29
S01000308,1014,610,122,190,7,17,36,32
S01000309,921,538,156,138,5,23,24,37
S01000310,774,404,110,183,6,15,33,23
S01000311,766,404,108,143,8,11,39,53
S01000312,443,214,58,91,7,6,23,44
S01000313,575,326,54,97,7,5,36,50
S01000314,474,260,60,96,1,10,24,23
S01000315,554,362,18,107,4,9,13,41
S01000316,755,392,64,139,5,20,38,97
S01000317,465,218,40,102,8,8,35,54
S01000318,455,302,32,73,1,4,9,34
S01000319,530,328,50,110,2,3,18,19
S01000320,587,262,82,140,5,18,40,40
S01000321,492,292,52,92,5,8,19,24
S01000322,801,504,56,144,8,14,35,40
S01000323,709,394,66,139,3,14,35,58
S01000324,669,406,74,128,7,8,27,19
S01000325,973,570,102,174,13,15,40,59
S01000326,651,319,74,148,6,15,40,49
S01000327,678,424,52,135,2,11,23,31
S01000328,426,212,58,114,1,7,21,13
S01000329,642,304,144,120,4,18,35,17
S01000330,951,580,116,154,13,15,30,43
S01000331,499,260,40,96,6,15,36,46
S01000332,575,356,56,82,5,12,25,39
S01000333,731,444,76,136,8,11,31,25
S01000334,717,354,90,139,12,8,41,73
S01000335,650,406,51,113,6,5,41,28
S01000336,1057,608,162,181,14,24,38,30
S01000337,672,430,48,99,9,6,22,58
S01000338,400,226,38,90,6,9,14,17
S01000339,927,578,70,177,6,9,31,56
S01000340,866,534,80,155,13,16,26,42
S01000341,799,446,96,161,10,12,30,44
S01000342,376,176,48,80,3,10,22,37
S01000343,472,272,52,106,7,4,21,10
S01000344,795,450,88,172,8,14,28,35
S01000345,490,266,66,89,3,9,24,33
S01000346,521,296,42,98,1,3,40,41
S01000347,1108,696,144,159,4,19,43,43
S01000348,613,330,60,136,6,12,34,35
S01000349,456,244,52,71,3,8,30,48
S01000350,842,542,64,165,1,13,20,37
S01000351,787,448,68,181,10,14,30,36
S01000352,598,378,32,110,4,5,25,44
S01000353,427,282,30,79,3,5,11,17
S01000354,1171,638,202,249,6,12,42,22
S01000355,512,330,40,95,1,9,15,22
S01000356,518,342,44,93,5,4,7,23
S01000357,481,310,30,108,2,3,18,10
S01000358,762,490,58,152,6,7,18,31
S01000359,647,432,36,120,9,10,19,21
S01000360,441,226,60,75,3,5,38,34
S01000361,518,332,56,82,-,4,20,24
S01000362,796,482,74,145,16,11,30,38
S01000363,931,626,98,129,2,17,21,38
S01000364,753,442,102,132,9,19,19,30
S01000365,1513,946,254,194,8,25,48,38
S01000366,1492,976,212,189,10,33,36,36
S01000367,723,438,76,132,6,11,25,35
S01000368,1013,582,103,187,9,21,50,61
S01000369,797,492,72,148,4,13,31,37
S01000370,1138,688,168,192,3,17,37,33
S01000371,773,432,62,132,8,14,25,100
S01000372,759,396,90,164,5,11,28,65
S01000373,519,326,54,86,-,7,20,26
S01000374,529,286,48,108,7,9,17,54
S01000375,493,222,76,101,6,18,44,26
S01000376,659,324,90,136,7,13,48,41
S01000377,701,406,94,116,6,18,35,26
S01000378,417,252,28,100,-,12,9,16
S01000379,505,344,54,72,3,9,12,11
S01000380,759,474,88,135,5,18,18,21
S01000381,1210,832,98,169,7,7,30,67
S01000382,617,382,58,94,4,11,36,32
S01000383,893,474,178,136,7,20,49,29
S01000384,585,318,70,97,1,8,41,50
S01000385,484,228,80,101,-,9,39,27
S01000386,979,502,132,211,4,29,47,54
S01000387,732,432,80,121,9,11,23,56
S01000388,817,504,104,143,4,12,23,27
S01000389,621,380,74,104,1,8,36,18
S01000390,632,286,104,138,3,14,39,48
S01000391,572,238,84,128,5,18,37,62
S01000392,650,356,106,128,1,13,18,28
S01000393,750,414,76,132,7,8,32,81
S01000394,540,282,48,135,6,12,29,28
S01000395,624,378,72,120,3,9,23,19
S01000396,732,332,66,163,4,20,50,97
S01000397,816,450,68,162,2,14,43,77
S01000398,1783,1082,294,273,20,25,52,37
S01000399,530,210,109,122,10,12,31,36
S01000400,713,246,112,193,19,17,46,80
S01000401,729,480,68,127,3,8,22,21
S01000402,613,312,82,141,2,12,30,34
S01000403,669,354,84,131,6,18,31,45
S01000404,604,326,88,127,4,16,19,24
S01000405,422,246,46,93,4,7,8,18
S01000406,450,162,76,136,-,18,22,36
S01000407,517,220,76,135,8,9,30,39
S01000408,490,280,70,96,-,6,12,26
S01000409,504,270,74,104,2,10,15,29
S01000410,585,384,50,104,3,10,16,18
S01000411,566,328,68,108,8,14,19,21
S01000412,649,376,94,119,6,12,24,18
S01000413,703,432,52,132,3,17,29,38
S01000414,566,356,62,93,3,14,19,19
S01000415,766,420,96,138,5,19,28,60
S01000416,683,374,102,114,4,22,27,40
S01000417,837,474,92,152,2,15,43,59
S01000418,588,352,60,109,4,12,27,24
S01000419,1106,690,154,183,5,26,29,19
S01000420,1032,570,130,176,9,23,55,69
S01000421,603,382,62,105,5,8,16,25
S01000422,734,410,82,128,7,15,41,51
S01000423,794,530,52,145,2,13,22,30
S01000424,581,334,76,104,4,16,20,27
S01000425,699,390,86,114,4,10,31,64
S01000426,640,416,66,110,2,7,20,19
S01000427,636,292,96,163,1,11,45,28
S01000428,569,342,34,124,1,16,21,31
S01000429,778,460,94,127,3,7,24,63
S01000430,421,250,24,95,-,6,20,26
S01000431,583,248,60,139,5,10,42,79
S01000432,785,480,62,101,4,15,37,86
S01000433,453,192,52,110,2,12,28,57
S01000434,489,212,62,113,2,14,42,44
S01000435,434,250,48,70,-,12,24,30
S01000436,507,310,52,101,1,10,17,16
S01000437,768,426,72,156,3,13,38,60
S01000438,481,344,16,90,-,3,12,16
S01000439,652,392,72,126,4,20,23,15
S01000440,899,524,130,154,4,15,31,41
S01000441,733,426,82,144,6,10,27,38
S01000442,687,436,60,127,12,9,16,27
S01000443,501,334,42,88,3,5,17,12
S01000444,1802,1166,244,263,12,27,59,31
S01000445,1002,590,96,187,7,18,45,59
S01000446,777,450,120,131,8,14,30,24
S01000447,604,338,88,109,4,13,15,37
S01000448,673,394,108,111,2,18,19,21
S01000449,593,306,70,113,6,5,54,39
S01000450,489,254,68,95,7,9,20,36
S01000451,718,412,80,140,5,12,31,38
S01000452,481,280,48,106,1,12,20,14
S01000453,458,288,54,79,1,9,12,15
S01000454,371,174,42,68,1,10,29,47
S01000455,697,402,58,160,5,10,38,24
S01000456,873,502,126,168,2,14,22,39
S01000457,682,362,68,106,4,12,36,94
S01000458,739,458,94,131,2,13,21,20
S01000459,872,394,108,201,5,22,61,81
S01000460,571,242,76,140,7,17,35,54
S01000461,724,256,110,185,7,22,55,89
S01000462,827,376,96,189,6,17,52,91
S01000463,547,274,76,128,5,13,29,22
S01000464,672,414,64,107,5,13,31,38
S01000465,565,360,58,109,-,5,16,17
S01000466,720,450,72,139,6,14,22,17
S01000467,524,274,52,106,6,13,30,43
S01000468,433,274,38,79,-,15,15,12
S01000469,513,324,42,97,1,11,21,17
S01000470,753,448,54,158,5,7,23,58
S01000471,645,388,92,116,2,9,16,22
S01000472,599,332,64,132,2,8,31,30
S01000473,549,282,54,121,4,13,39,36
S01000474,505,310,44,99,7,9,19,17
S01000475,585,274,65,137,2,21,41,45
S01000476,528,324,58,88,7,4,20,27
S01000477,594,336,60,106,2,8,33,49
S01000478,669,304,68,149,7,22,50,69
S01000479,713,336,84,166,7,16,43,61
S01000480,549,326,48,104,2,8,20,41
S01000481,1607,928,206,328,10,34,52,49
S01000482,725,232,120,218,15,22,60,58
S01000483,853,346,112,191,2,26,83,93
S01000484,651,268,100,170,11,13,62,27
S01000485,818,522,42,151,6,7,41,49
S01000486,906,228,190,291,19,37,102,39
S01000487,495,258,30,112,7,10,32,46
S01000488,537,254,56,113,-,13,34,67
S01000489,761,260,134,192,15,21,73,66
S01000490,451,214,80,105,3,8,22,19
S01000491,433,138,76,117,9,17,53,23
S01000492,734,286,138,171,8,28,53,50
S01000493,547,270,68,108,7,12,26,56
S01000494,439,162,55,119,8,18,44,33
S01000495,749,474,58,133,8,10,25,41
S01000496,423,290,22,62,6,6,14,23
S01000497,614,316,98,119,4,12,21,44
S01000498,459,268,38,78,7,1,14,53
S01000499,813,438,96,154,3,17,52,53
S01000500,485,210,74,133,2,12,32,22
S01000501,501,256,52,85,2,11,34,61
S01000502,504,300,46,117,4,8,10,19
S01000503,402,250,32,87,2,2,10,19
S01000504,673,294,70,148,8,22,46,85
S01000505,596,348,48,118,3,9,32,38
S01000506,778,484,100,126,7,11,27,23
S01000507,820,380,92,169,6,21,63,89
S01000508,765,440,74,176,4,13,25,33
S01000509,836,440,76,157,6,24,33,100
S01000510,574,284,62,116,12,12,33,55
S01000511,473,272,54,89,2,8,20,28
S01000512,793,514,56,116,7,11,28,61
S01000513,722,360,92,148,-,18,38,66
S01000514,743,434,96,131,2,14,26,40
S01000515,447,271,36,94,5,6,15,20
S01000516,694,430,48,139,6,8,25,38
S01000517,598,320,72,99,6,16,25,60
S01000518,797,412,88,161,3,16,34,83
S01000519,422,248,40,96,3,7,9,19
S01000520,916,534,126,154,3,15,31,53
S01000521,767,382,102,157,4,16,54,52
S01000522,550,356,46,100,5,7,15,21
S01000523,655,346,66,148,1,12,38,44
S01000524,582,352,48,123,2,18,19,20
S01000525,846,528,70,134,9,17,24,64
S01000526,801,494,80,144,9,17,21,36
S01000527,543,356,46,94,3,6,17,21
S01000528,733,466,40,141,10,10,32,34
S01000529,683,418,58,124,9,7,26,41
S01000530,398,260,30,64,2,2,16,24
S01000531,509,266,48,123,9,8,28,27
S01000532,645,350,52,124,3,13,43,60
S01000533,613,330,38,131,5,17,43,49
S01000534,624,296,60,137,6,19,40,66
S01000535,830,402,96,173,2,16,62,79
S01000536,394,234,42,67,2,9,21,19
S01000537,808,510,56,169,2,5,25,41
S01000538,603,286,76,138,2,13,36,52
S01000539,809,336,100,193,8,29,61,82
S01000540,614,282,66,145,6,15,38,62
S01000541,494,220,64,121,6,11,30,42
S01000542,537,246,66,113,6,17,36,53
S01000543,678,368,48,160,3,13,30,56
S01000544,581,336,38,115,4,7,30,51
S01000545,613,266,92,162,6,17,25,45
S01000546,685,366,76,152,4,19,26,42
S01000547,447,240,28,105,4,8,20,42
S01000548,880,484,80,165,1,14,50,86
S01000549,926,606,70,173,3,10,18,46
S01000550,398,274,16,79,-,4,9,16
S01000551,742,374,74,174,6,10,24,80
S01000552,475,308,24,97,5,2,15,24
S01000553,745,424,62,159,3,16,25,56
S01000554,531,194,88,149,4,21,54,21
S01000555,702,314,96,151,2,19,46,74
S01000556,658,306,74,159,4,17,53,45
S01000557,749,382,102,155,9,14,37,50
S01000558,439,254,28,105,4,6,16,26
S01000559,542,254,68,114,3,14,36,53
S01000560,901,388,130,246,7,26,55,49
S01000561,866,372,61,220,11,22,61,119
S01000562,696,304,80,159,2,16,56,79
S01000563,916,278,157,261,25,34,99,62
S01000564,715,262,93,210,8,26,78,38
S01000565,608,308,80,122,4,12,34,48
S01000566,676,320,66,174,13,16,32,55
S01000567,668,328,78,131,6,21,52,52
S01000568,434,260,36,82,2,4,25,25
S01000569,606,340,44,108,3,11,40,60
S01000570,773,460,54,138,3,8,29,81
S01000571,686,272,72,146,8,15,53,120
S01000572,607,380,36,111,2,9,29,40
S01000573,444,290,24,89,3,10,13,15
S01000574,647,396,32,99,6,10,20,84
S01000575,541,296,50,91,4,9,28,63
S01000576,472,324,18,75,1,7,17,30
S01000577,452,264,38,85,-,8,16,41
S01000578,526,322,42,76,3,11,29,43
S01000579,689,430,50,125,2,13,29,40
S01000580,739,482,82,111,6,13,16,29
S01000581,590,370,42,101,3,18,21,35
S01000582,503,250,42,122,2,13,51,23
S01000583,740,428,86,136,3,14,45,28
S01000584,687,264,106,180,4,27,53,53
S01000585,998,422,142,234,8,34,67,91
S01000586,608,344,62,123,1,11,36,31
S01000587,552,232,64,127,6,21,51,51
S01000588,485,268,40,101,4,10,24,38
S01000589,560,314,38,89,2,15,49,53
S01000590,649,392,64,112,2,12,28,39
S01000591,655,394,50,113,2,9,27,60
S01000592,735,406,70,137,5,18,40,59
S01000593,1048,636,140,183,10,13,37,29
S01000594,913,606,64,174,5,8,24,32
S01000595,636,352,40,128,1,9,33,73
S01000596,679,440,38,124,3,13,26,35
S01000597,842,544,28,164,5,9,29,63
S01000598,996,666,98,145,6,12,45,24
S01000599,933,574,70,174,6,16,31,62
S01000600,627,400,62,95,2,7,30,31
S01000601,991,588,104,185,7,17,39,51
S01000602,611,344,74,108,2,15,24,44
S01000603,826,504,71,147,5,18,30,51
S01000604,808,518,52,156,3,5,27,47
S01000605,630,370,53,119,1,16,28,43
S01000606,652,198,98,192,4,26,75,59
S01000607,632,394,44,95,4,12,15,68
S01000608,1009,286,190,291,13,34,121,74
S01000609,833,304,112,245,4,31,83,54
S01000610,707,204,84,200,13,45,95,66
S01000611,508,208,74,133,3,9,45,36
S01000612,916,258,164,261,7,39,89,98
S01000613,884,392,102,212,5,25,71,77
S01000614,569,278,64,136,3,17,31,40
S01000615,669,248,70,157,7,17,74,96
S01000616,1119,620,146,211,15,25,49,53
S01000617,548,328,62,67,3,9,25,54
S01000618,711,418,52,126,6,6,28,75
S01000619,557,316,64,95,10,13,26,33
S01000620,859,272,150,272,7,30,86,42
S01000621,938,396,148,183,8,29,74,100
S01000622,540,206,112,132,2,16,51,21
S01000623,608,274,66,168,2,8,47,43
S01000624,511,222,84,119,5,16,25,40
S01000625,463,156,66,151,2,15,42,31
S01000626,601,208,88,188,6,26,59,26
S01000627,715,316,92,181,3,12,61,50
S01000628,436,194,64,114,1,13,26,24
S01000629,621,332,80,151,7,10,20,21
S01000630,625,308,92,123,6,14,38,44
S01000631,501,192,72,141,-,15,38,43
S01000632,463,256,82,78,2,7,18,20
S01000633,430,268,34,73,5,5,30,15
S01000634,619,288,84,144,3,9,49,42
