"LAname","densityZ","simd2012score","SFI","DZ_CODE","DZ_NAME"
"Aberdeen City",-0.960378626888741,10.04365545,1.95524303617828,"S01000001",NA
"Aberdeen City",-0.464625802470596,3.824864567,0.749950834319024,"S01000002",NA
"Aberdeen City",0.515747710595491,3.730585995,2.04123912333739,"S01000003",NA
"Aberdeen City",-0.217586482216714,4.404421545,-0.257525278312814,"S01000004",NA
"Aberdeen City",-0.0349535923195183,5.218358227,-0.679008767254178,"S01000005",NA
"Aberdeen City",-0.101427925340766,9.639341163,-0.106463696437056,"S01000006",NA
"Aberdeen City",-0.464576271374266,4.031728533,2.35773234160633,"S01000007",NA
"Aberdeen City",0.477057840122176,10.77024744,2.31965646568054,"S01000008",NA
"Aberdeen City",-0.00276115663031459,8.0885662,1.51791791279219,"S01000009",NA
"Aberdeen City",-0.0414349718909267,4.329144166,1.19728010778845,"S01000010",NA
"Aberdeen City",-0.785852445153194,4.716995455,2.38789067645846,"S01000011",NA
"Aberdeen City",-0.946896067393074,6.752840642,0.157906916532923,"S01000012",NA
"Aberdeen City",-0.138943887842811,10.16095409,0.319745609952976,"S01000013",NA
"Aberdeen City",-0.761946090607772,7.600719318,1.74506025963932,"S01000014",NA
"Aberdeen City",0.97270302153094,3.831392686,-0.760736133718898,"S01000015",NA
"Aberdeen City",-0.92810203427133,4.074393072,0.152613526296765,"S01000016",NA
"Aberdeen City",0.0185174481535395,9.668155201,0.616478787747985,"S01000017",NA
"Aberdeen City",0.527371075226907,9.223077725,1.80369279645761,"S01000018",NA
"Aberdeen City",-0.471279134786848,5.070660447,0.716020532550755,"S01000019",NA
"Aberdeen City",-0.86072859170837,13.09079941,0.659538371167818,"S01000020",NA
"Aberdeen City",0.384896435468963,13.29496,-0.033924845058133,"S01000021",NA
"Aberdeen City",-0.748209195284418,4.055633699,0.989315023686244,"S01000022",NA
"Aberdeen City",-0.974206076250992,4.719921921,2.20911077695474,"S01000023",NA
"Aberdeen City",-1.00328226827615,6.345335712,2.14233514813249,"S01000024",NA
"Aberdeen City",-0.229821654942219,4.670769727,1.23594252518693,"S01000025",NA
"Aberdeen City",-0.114294053806609,34.43751682,1.14855606937816,"S01000026",NA
"Aberdeen City",-0.43982424715893,4.813608676,3.3230125778314,"S01000027",NA
"Aberdeen City",0.671679112968907,25.31088216,-0.250000088896863,"S01000028",NA
"Aberdeen City",0.337398728870552,4.553448389,0.499990107305881,"S01000029",NA
"Aberdeen City",0.689773907140984,21.9137012,-0.556873266421416,"S01000030",NA
"Aberdeen City",-0.223998544994304,4.018579336,-0.338339585931573,"S01000031",NA
"Aberdeen City",0.300825057591433,21.07227997,0.128705985053935,"S01000032",NA
"Aberdeen City",0.0310385482960461,30.87598356,0.86177232554077,"S01000033",NA
"Aberdeen City",-0.847883263927864,3.791560996,-0.31886917429304,"S01000034",NA
"Aberdeen City",-0.351491825734465,18.63034754,1.79362916781828,"S01000035",NA
"Aberdeen City",0.110360589939805,30.19355136,1.44876593452681,"S01000036",NA
"Aberdeen City",-0.979530803984526,22.44070783,1.13570254380379,"S01000037",NA
"Aberdeen City",0.13359399763229,16.76179699,0.298913382905368,"S01000038",NA
"Aberdeen City",0.984339184414607,21.41942163,0.40195135821988,"S01000039",NA
"Aberdeen City",0.0663604726063105,19.0535222,1.29708697569206,"S01000040",NA
"Aberdeen City",-0.562633296473323,13.58222801,1.2311513555681,"S01000041",NA
"Aberdeen City",0.543138098188236,22.00841843,0.868382000701754,"S01000042",NA
"Aberdeen City",-0.573130054649251,14.97967742,1.39225580492158,"S01000043",NA
"Aberdeen City",0.201487086567306,33.06997441,0.060757400837398,"S01000044",NA
"Aberdeen City",-0.0970230148129264,4.368304244,-0.153656425273304,"S01000045",NA
"Aberdeen City",-0.381730946479537,4.084370382,0.540665783753105,"S01000046",NA
"Aberdeen City",0.407224067816594,15.49736851,-0.554388506677812,"S01000047",NA
"Aberdeen City",-0.23061811239675,3.756734369,0.691075575355754,"S01000048",NA
"Aberdeen City",0.244170433350375,4.422200104,0.152199922045263,"S01000049",NA
"Aberdeen City",0.0203013006657139,5.748385242,0.415283472465962,"S01000050",NA
"Aberdeen City",0.00410567053394028,3.713123612,0.0335990490807671,"S01000051",NA
"Aberdeen City",-0.206269169623548,44.52555617,0.947670236581182,"S01000052",NA
"Aberdeen City",-0.206992850264415,8.82921763,0.528036576409048,"S01000053",NA
"Aberdeen City",-0.125777582782882,4.399375881,-0.0578550950049235,"S01000054",NA
"Aberdeen City",0.735057265729405,37.07013463,0.743594788891459,"S01000055",NA
"Aberdeen City",-0.986718625142092,6.203732979,0.813687934494595,"S01000056",NA
"Aberdeen City",1.25694059252532,42.68033045,1.40541948075109,"S01000057",NA
"Aberdeen City",0.0274433502265439,3.990559384,1.59916903470271,"S01000058",NA
"Aberdeen City",-0.369196705000972,4.153630828,-1.06713379139694,"S01000059",NA
"Aberdeen City",-0.363084276182713,60.47133964,0.811618931308456,"S01000060",NA
"Aberdeen City",-0.458955044722131,3.713328555,0.897934812316522,"S01000061",NA
"Aberdeen City",0.680565294249752,3.997848328,2.26637922021242,"S01000062",NA
"Aberdeen City",0.194397180707864,3.129959557,0.783535855550362,"S01000063",NA
"Aberdeen City",0.290400445973816,11.72550837,-0.761808543152769,"S01000064",NA
"Aberdeen City",0.816400091287549,11.08685615,-0.0945273230628312,"S01000065",NA
"Aberdeen City",0.465457883304864,26.10129122,0.324055051783582,"S01000066",NA
"Aberdeen City",-0.0334153714950535,5.208567497,1.45402579572889,"S01000067",NA
