DataZone2001,simd2012score,simd2012rank,simd2012_sc_quintile,simd2012_sc_decile,simd2012_hb2006_quintile,simd2012_hb2006_decile,simd2012_hb2014_quintile,simd2012_hb2014_decile,simd2012_ca_quintile,simd2012_ca_decile,simd2012_chp2007_quintile,simd2012_chp2007_decile,simd2012_chp2011_quintile,simd2012_chp2011_decile,simd2012_chp2011sub_quintile,simd2012_chp2011sub_decile,simd2012_chp2012_quintile,simd2012_chp2012_decile,simd2012tp15,simd2012bt15,simd2012_inc_rate,simd2012_inc_dep_N,simd2012_inc_rank,simd2012_emp_rate,simd2012_emp_dep_N,simd2012_emp_rank,simd2012_hlth_score,simd2012_hlth_rank,simd2012_educ_score,simd2012_educ_rank,simd2012_house_score,simd2012_house_rank,simd2012_access_score,simd2012_access_rank,simd2012_crime_score,simd2012_crime_rank,total_pop_2010
S01000032,21.07227997,2591,2,4,1,2,1,2,2,3,2,3,2,3,2,3,2,3,0,0,13,125,2883,12,65,3089,0.717702624,1360,0.494688117,2020,18.73278237,2552,13.60989323,3662,381,2510,959
S01000033,30.87598356,1519,2,3,1,1,1,1,1,2,1,2,1,2,1,2,1,2,0,0,20,135,1611,17,70,1860,1.10446615,665,0.624635618,1680,24.49748744,1643,4.302333696,5517,708,1002,682
S01000034,3.791560996,6224,5,10,5,10,5,10,5,9,5,9,5,9,5,9,5,9,0,1,1,15,6421,1,5,6496,-1.515671798,6298,-1.282922416,6030,2.378378378,6343,33.88293578,1353,96,5504,1247
S01000035,18.63034754,2969,3,5,2,3,2,3,2,4,2,4,2,4,2,4,2,4,0,0,10,100,3717,9,65,3691,0.109077385,2905,0.86554044,1156,16.94747275,2972,15.63291295,3316,641,1233,1032
S01000036,30.19355136,1585,2,3,1,1,1,1,1,2,1,2,1,2,1,2,1,2,0,0,16,110,2245,15,70,2211,0.786864018,1217,1.214100349,552,18.23361823,2670,24.14502355,2172,465,1986,673
S01000037,22.44070783,2382,2,4,1,2,1,2,2,3,2,3,2,3,2,3,2,3,0,0,12,85,3059,12,50,2934,0.435242602,2035,0.453593415,2112,21.33152174,2047,17.91007463,2958,1234,279,702
S01000038,16.76179699,3264,3,5,2,3,2,3,2,4,2,4,2,4,2,4,2,4,0,0,10,80,3554,10,50,3414,0.272319958,2465,0.299681906,2461,19.67213115,2361,12.07475875,3931,440,2131,771
S01000039,21.41942163,2536,2,4,1,2,1,2,2,3,2,3,2,3,2,3,2,3,0,0,11,95,3315,11,65,3155,0.581754022,1678,0.456471085,2103,23.77919321,1708,37.25507478,1154,267,3429,870
S01000040,19.0535222,2909,3,5,1,2,1,2,2,4,2,4,2,4,2,4,2,4,0,0,10,90,3490,13,65,2849,0.54282039,1758,0.465376408,2086,21.34020619,2045,2.584181806,5930,529,1688,871
S01000041,13.58222801,3925,3,6,2,4,2,4,3,5,3,5,3,5,3,5,3,5,0,0,9,70,3834,10,45,3627,0.22654733,2592,-0.155883234,3588,6.529625151,5624,12.32588499,3883,239,3712,763
S01000042,22.00841843,2431,2,4,1,2,1,2,2,3,2,3,2,3,2,3,2,3,0,0,11,85,3436,14,75,2465,0.779088621,1234,0.771270675,1360,16.20253165,3161,5.46878826,5270,366,2612,788
S01000043,14.97967742,3619,3,6,2,4,2,4,3,5,3,5,3,5,3,5,3,5,0,0,12,95,3098,7,35,4628,0.46777928,1958,-0.211392723,3750,18.27956989,2651,6.156477953,5143,600,1379,770
S01000044,33.06997441,1350,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,2,0,0,21,180,1407,16,85,2031,1.251469909,486,0.802256908,1284,25.05285412,1582,9.586278557,4401,626,1281,838
S01000045,4.368304244,6084,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,2,10,6347,2,5,6436,-0.884736648,5471,-1.369853532,6115,4.819277108,5936,34.10971754,1343,94,5518,575
S01000046,4.084370382,6159,5,10,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,1,1,10,6402,1,5,6454,-0.893638609,5492,-1.882444214,6436,1.703800786,6414,32.89819077,1420,132,5019,746
S01000047,15.49736851,3501,3,6,2,4,2,4,3,5,3,5,3,5,3,5,3,5,0,0,11,80,3430,9,50,3768,0.147149113,2808,0.216353947,2667,29.56058589,1152,10.78673243,4177,312,3054,749
S01000048,3.756734369,6233,5,10,5,10,5,10,5,9,5,9,5,9,5,9,5,9,0,1,1,10,6455,2,10,6404,-0.994522091,5679,-1.630549937,6317,6.594594595,5608,28.081854,1754,156,4691,914
S01000049,4.422200104,6066,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,3,25,5849,2,10,6408,-0.304506287,4056,-1.590554412,6293,3.934871099,6105,22.1890832,2406, ,6486.5,723
S01000050,5.748385242,5744,5,9,4,8,4,8,4,7,4,7,4,7,4,7,4,7,0,1,5,30,5342,4,15,5633,-0.264751764,3935,-1.197952792,5933,5.952380952,5723,12.45550919,3863,220,3905,685
S01000051,3.713123612,6245,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,2,15,6375,2,10,6369,-0.96620506,5634,-1.509083486,6253,3.299492386,6210,28.13769126,1750,98,5469,807
S01000052,44.52555617,700,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,28,165,686,21,80,1272,1.579588982,217,1.118332857,687,26.14475628,1457,15.06315256,3404,590,1429,591
S01000053,8.82921763,4991,4,8,4,7,4,7,3,6,3,6,3,6,3,6,3,6,0,0,7,75,4476,4,25,5902,0.356523005,2250,-0.801322849,5286,12.32876712,4248,12.83666229,3794,210,4011,1055
S01000054,4.399375881,6071,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,3,25,5962,1,5,6479,-0.093423264,3472,-1.595391298,6297,3.861003861,6122,17.78809604,2984,68,5864,785
S01000055,37.07013463,1103,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,24,190,1047,20,95,1396,1.118416072,644,0.913605954,1058,23.06610408,1794,5.130065921,5342,827,742,792
S01000056,6.203732979,5629,5,9,4,8,4,8,4,7,4,7,4,7,4,7,4,7,0,1,2,25,6247,4,25,5987,-0.932570381,5563,-1.519188392,6260,4.671115348,5969,45.4231606,772,206,4058,1068
S01000057,42.68033045,784,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,27,180,803,22,90,1197,0.783360028,1223,1.419789026,325,30.42857143,1079,9.646590501,4392,1313,240,677
S01000058,3.990559384,6181,5,10,5,10,5,10,5,9,5,9,5,9,5,9,5,9,0,1,2,15,6213,3,10,6210,-0.732024751,5151,-1.393535523,6145,2.987197724,6266,22.33696116,2385,175,4450,705
S01000059,4.153630828,6141,5,10,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,1,1,10,6424,3,15,6267,-1.061393252,5783,-1.72465298,6371,4.713375796,5960,26.30948869,1940,330,2900,884
S01000060,60.47133964,221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,33,185,340,32,110,269,1.368559948,357,1.470044318,284,24.09012132,1676,20.44909055,2618,1344,226,572
S01000061,3.713328555,6244,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,2,15,6358,2,10,6385,-1.113349141,5862,-1.60438836,6303,2.931937173,6273,27.72309438,1799,168,4544,1012
S01000062,3.997848328,6179,5,10,5,10,5,10,5,9,5,9,5,9,5,9,5,9,0,1,3,35,5778,3,20,6146,-1.055140256,5772,-1.340583201,6086,23.03030303,1799,11.42656655,4048,276,3356,948
S01000063,3.129959557,6340,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,2,20,6263,2,10,6317,-0.736341378,5163,-1.445180098,6202,9.110169492,5102,15.67333174,3309,143,4860,901
S01000064,11.72550837,4322,4,7,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,9,55,3863,8,35,4162,-0.348122394,4184,-0.238492869,3834,21.2962963,2056.5,3.283120662,5752,607,1352,607
S01000065,11.08685615,4475,4,7,3,5,3,5,3,6,3,6,3,6,3,6,3,6,0,0,7,60,4483,9,55,3893,-0.185788149,3704,-0.350878044,4151,21.11932418,2087,10.99409922,4130,304,3117,886
S01000066,26.10129122,1971,2,3,1,2,1,2,2,3,2,3,2,3,2,3,2,3,0,0,10,80,3727,15,95,2352,0.97755333,860,0.624275153,1681,41.73333333,553,2.376277046,5975,2205,57,817
S01000067,5.208567497,5885,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,4,45,5369,5,30,5401,-0.197063351,3732,-1.403022215,6157,8.174692049,5301,6.755952762,5017,116,5220,985
S01000068,4.980903637,5945,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,4,35,5624,2,10,6324,-0.24205566,3866,-1.473230218,6225,10.67961165,4701.5,18.13630993,2920,138,4933,861
S01000069,33.98622585,1290,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,2,0,0,21,140,1495,19,85,1647,1.008578804,801,0.938485058,1014,32.45614035,940,4.808729048,5415,945,539,686
S01000070,25.27049538,2059,2,4,1,2,1,2,2,3,2,3,2,3,2,3,2,3,0,0,18,115,1920,16,65,2075,0.245638855,2535,0.544437868,1895,23.06501548,1795,10.74313661,4188,718,977,645
S01000071,37.42571077,1079,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,23,175,1223,20,100,1404,1.338593764,387,0.858918215,1183,28.51351351,1221,9.899694849,4340,703,1022,762
S01000072,15.03469061,3608,3,6,2,4,2,4,3,5,3,5,3,5,3,5,3,5,0,0,8,70,4053,8,40,4037,0.064024289,3033,-0.605562546,4806,10.33653846,4797,45.79827907,761,440,2133,856
S01000073,2.770818387,6394,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,4,20,5752,3,10,6042,-0.919947885,5538,-1.508241476,6251,2.94599018,6272,8.915040897,4539, ,5806,593
S01000074,48.04169534,571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,25,215,1003,25,130,789,1.49528254,267,1.350062445,393,28.96461337,1198.5,28.24043618,1739,723,964,867
S01000075,6.614784808,5526,5,9,4,8,4,8,4,7,4,7,4,7,4,7,4,7,0,0,4,25,5375,5,20,5512,-0.950620695,5606,-0.38110479,4222,19.92687386,2310,4.176837865,5547,596,1399,517
S01000076,3.97155787,6182,5,10,5,10,5,10,5,9,5,9,5,9,5,9,5,9,0,1,2,15,6353,2,10,6355,-1.527091661,6305,-1.82543681,6417,1.688311688,6418,35.68555813,1243,101,5434,764
S01000077,4.292794582,6103,5,10,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,1,3,25,6106,5,30,5469,-0.741618963,5173,-1.903404659,6440,10.56105611,4738,16.3571481,3191,176,4427,917
S01000078,27.52628348,1818,2,3,1,1,1,1,1,2,1,2,1,2,1,2,1,2,0,0,14,120,2782,17,115,1964,1.199765366,530,0.155239504,2812,49.57160343,348,0.363492834,6447,1104,369,871
S01000079,3.899903994,6197,5,10,5,10,5,10,5,9,5,9,5,9,5,9,5,9,0,1,2,20,6399,2,20,6444,-0.572238021,4771,-1.19257635,5930,19.23913043,2448,15.24976838,3369,252,3572,1263
S01000080,6.568627467,5541,5,9,4,8,4,8,4,7,4,7,4,7,4,7,4,7,0,0,6,45,4887,4,20,5874,-0.287628959,4008,-0.873045553,5441,27.53779698,1314,3.334812972,5735,368,2604,775
S01000081,2.561128575,6424,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,1,15,6418,2,10,6392,-0.976464965,5645,-1.642590952,6325,5.303030303,5842.5,14.49139483,3504,201,4129,938
S01000082,37.62637445,1063,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,21,195,1460,16,95,2138,1.386744504,340,1.114417642,696,25.75431034,1504,21.46749346,2495,1057,409,947
S01000083,2.410804646,6441,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,1,10,6431,3,15,6209,-0.826353274,5358,-1.466633795,6221,16.77675033,3021,6.795030736,5003,166,4572,782
S01000084,37.23561183,1095,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,15,115,2401,20,120,1420,1.499084545,263,1.093506747,726,39.10690122,638,3.437428353,5720,1635,131,739
S01000085,12.77741016,4082,4,7,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,6,40,4763,7,40,4453,0.121995091,2872,0.349961211,2337,47.5,398,2.273759414,6006,430,2190,616
S01000086,4.714302907,6003,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,3,25,5991,3,15,6271,-0.60560363,4858,-0.839999199,5370,14.96402878,3489,10.97150294,4134,428,2206,775
S01000087,3.217629357,6320,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,2,20,6300,1,15,6453,-0.837591379,5381,-1.226758475,5965,6.357388316,5647,16.81497697,3118,203,4093,1074
S01000088,4.760577768,5993,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,4,40,5362,4,25,5916,-0.735223361,5161,-0.639316881,4915,15.4589372,3358,5.064792036,5356,232,3799,847
S01000089,3.810834493,6219,5,10,5,10,5,10,5,9,5,9,5,9,5,9,5,9,0,1,1,10,6437,1,10,6474,-1.193037642,5977,-1.785908335,6403,3.014553015,6259,33.28339328,1389,124,5114,957
S01000090,3.354059815,6296,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,3,25,5904,2,10,6428,-0.789243254,5290,-1.592269625,6294,18.5,2594.5,7.423498789,4857,324,2960,786
S01000091,11.17481299,4453,4,7,3,5,3,5,3,6,3,6,3,6,3,6,3,6,0,0,7,70,4625,7,55,4699,0.257390044,2497,-0.304256265,4017,35.27508091,776,2.769622277,5875,440,2126,1083
S01000092,5.790779331,5727,5,9,4,8,4,8,4,7,4,7,4,7,4,7,4,7,0,1,4,30,5606,4,25,5887,-0.883352198,5470,-0.493426987,4526,32.78495887,920,1.597409025,6159,537,1656,800
S01000093,11.32246088,4405,4,7,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,7,50,4461,8,45,4063,-0.231778459,3823,-0.288365445,3970,33.45588235,878,6.760407576,5014,448,2075,680
S01000094,7.124154204,5400,5,9,4,8,4,8,4,7,4,7,4,7,4,7,4,7,0,0,4,30,5496,4,25,5802,-0.856822438,5419,-0.07329789,3366,24.34782609,1656,1.137952031,6255,679,1106,683
S01000095,2.627376093,6413,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,3,30,5806,3,15,6281,-1.294474589,6117,-1.230016984,5968,21.05263158,2101.5,0.948901479,6304,240,3699,817
S01000096,27.77583079,1793,2,3,1,1,1,1,1,2,1,2,1,2,1,2,1,2,0,0,16,115,2227,21,85,1309,0.740029394,1305,-0.061624202,3341,19.12181303,2471,26.15750779,1958,371,2585,707
S01000097,2.552416655,6428,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,1,15,6440,1,10,6489,-1.041296394,5754,-1.329489327,6073,7.638190955,5397,12.14184437,3920,275,3361,1206
S01000098,28.74312894,1703,2,3,1,1,1,1,1,2,1,2,1,2,1,2,1,2,0,0,11,130,3245,15,150,2207,1.306149475,425,0.336769663,2376,40.9190372,584,3.796313632,5639,3311,19,1138
S01000099,3.125454083,6341,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,1,15,6400,2,10,6411,-1.179166257,5956,-1.22853946,5966,1.443569554,6444,22.78378539,2333,131,5032,872
S01000100,20.32611131,2693,2,4,1,2,1,2,2,4,2,4,2,4,2,4,2,4,0,0,10,80,3672,9,65,3678,0.962674465,892,-0.308439094,4029,21.00719424,2110,2.557740015,5937,3184,23,839
S01000101,4.780190363,5991,5,10,5,9,5,9,4,8,4,8,4,8,4,8,4,8,0,1,2,15,6381,2,15,6387,-0.962401174,5627,-1.451768805,6209,14.68926554,3560,3.181954006,5787,1294,253,947
S01000102,28.08497005,1760,2,3,1,1,1,1,1,2,1,2,1,2,1,2,1,2,0,0,15,120,2461,18,100,1822,0.872546962,1038,0.407650873,2204,29.85274431,1129,0.7617167,6350,1736,113,785
S01000103,3.884623925,6201,5,10,5,10,5,10,5,9,5,9,5,9,5,9,5,9,0,1,2,10,6335,1,10,6466,-1.389295938,6217,-0.872367345,5439,34.49419569,828,0.414392247,6431,696,1044,611
S01000104,3.310817817,6302,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,1,5,6487,1,5,6484,-0.785882188,5283,-1.948106377,6450,2.686202686,6315,24.80036368,2102,128,5061,932
S01000105,5.592122456,5784,5,9,5,9,5,9,4,7,4,7,4,7,4,7,4,7,0,1,2,15,6377,4,20,5875,-0.72544719,5137,-1.001072291,5678,5.762711864,5760,33.06679666,1408,197,4165,809
S01000106,2.42893802,6439,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,1,10,6419,1,5,6482,-1.183975377,5967,-2.344744731,6500,5.807365439,5750,18.18097959,2914,152,4752,795
S01000107,18.30737036,3020,3,5,2,3,2,3,2,4,2,4,2,4,2,4,2,4,0,0,9,90,3998,9,80,3806,0.152198576,2789,0.274396931,2526,41.95725534,546,2.089746643,6057,6268,5,1019
S01000108,24.81869679,2112,2,4,1,2,1,2,2,3,2,3,2,3,2,3,2,3,0,0,14,95,2672,12,55,3020,0.752212664,1287,0.463466132,2088,35.89341693,753,14.83166349,3437,1329,235,670
S01000109,17.28781563,3183,3,5,2,3,2,3,2,4,2,4,2,4,2,4,2,4,0,0,7,75,4602,8,75,4055,0.5368399,1771,-0.236888166,3824,47.68361582,393,1.929936503,6079,7529,2,1100
S01000110,12.26540066,4189,4,7,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,0,8,70,4037,6,25,4941,0.284478172,2440,-0.075209968,3371,12.125,4308,17.95306934,2950,207,4055,814
S01000111,3.714331762,6241,5,10,5,10,5,10,5,9,5,9,5,9,5,9,5,9,0,1,2,20,6142,4,15,5988,-0.486423209,4547,-1.409686076,6167,10.87533156,4644,5.857005309,5194,328,2921,723
S01000112,18.73920082,2947,3,5,2,3,2,3,2,4,2,4,2,4,2,4,2,4,0,0,11,105,3423,11,85,3143,0.327834401,2326,0.421315566,2168,33.40206186,882,1.777410888,6109,821,754,1000
S01000113,1.570144614,6490,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,0,1,2,15,6158,2,10,6363,-1.459811144,6263,-2.255774925,6495,6.055045872,5693,6.732294032,5022,155,4716,613
S01000114,24.81632307,2113,2,4,1,2,1,2,2,3,2,3,2,3,2,3,2,3,0,0,15,120,2421,15,80,2239,0.272457022,2464,0.658166894,1593,21.05263158,2101.5,22.89156868,2320,627,1279,795
S01000115,21.99194531,2434,2,4,1,2,1,2,2,3,2,3,2,3,2,3,2,3,0,0,15,130,2396,15,75,2225,0.43099077,2050,0.232467703,2627,24.85681558,1601,9.903193353,4339,358,2673,836
S01000116,4.151787126,6142,5,10,5,9,5,9,5,9,5,9,5,9,5,9,5,9,0,1,3,35,6027,3,30,6171,-1.491845406,6285,-0.457961053,4433,42.88913774,521,1.525868126,6176,294,3205,1157
S01000117,6.258994702,5618,5,9,4,8,4,8,4,7,4,7,4,7,4,7,4,7,0,1,5,50,5019,2,10,6315,0.320270566,2352,-2.0263058,6472,6.484295846,5629,10.34478654,4249,122,5135,959
