DataZone,InterZone,MMWard,ROAL,SPConst,UKPConst,CHP,Council,ROAC,HB,CTRY
S01000113,S02000023,S13002485,S06000005,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000114,S02000020,S13002478,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000115,S02000020,S13002478,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000116,S02000021,S13002482,S06000004,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000117,S02000023,S13002482,S06000002,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000118,S02000020,S13002478,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000119,S02000021,S13002482,S06000004,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000120,S02000021,S13002482,S06000005,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000121,S02000023,S13002482,S06000001,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000122,S02000020,S13002478,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000123,S02000035,S13002478,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000124,S02000021,S13002482,S06000004,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000125,S02000024,S13002483,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000126,S02000022,S13002483,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000127,S02000023,S13002482,S06000002,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000128,S02000024,S13002483,S06000004,S16000074,S14000002,S03000012,S12000033,S05000001,S08000020,S92000003
S01000129,S02000024,S13002483,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000130,S02000022,S13002483,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000131,S02000023,S13002482,S06000005,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000132,S02000021,S13002482,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000133,S02000027,S13002478,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000134,S02000025,S13002478,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000135,S02000024,S13002483,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000136,S02000025,S13002478,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000137,S02000026,S13002482,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000138,S02000022,S13002483,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000139,S02000027,S13002478,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000140,S02000027,S13002478,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000141,S02000023,S13002482,S06000002,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000142,S02000025,S13002478,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000143,S02000035,S13002478,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000144,S02000022,S13002483,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000145,S02000027,S13002478,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000146,S02000024,S13002483,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000147,S02000022,S13002483,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000148,S02000025,S13002479,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000149,S02000024,S13002483,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000150,S02000025,S13002478,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000151,S02000028,S13002480,S06000001,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000152,S02000026,S13002482,S06000005,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000153,S02000022,S13002481,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000154,S02000027,S13002478,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000155,S02000025,S13002479,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000156,S02000029,S13002483,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000157,S02000028,S13002480,S06000001,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000158,S02000028,S13002480,S06000002,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000159,S02000035,S13002478,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000160,S02000025,S13002479,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000161,S02000029,S13002483,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000162,S02000028,S13002480,S06000002,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000163,S02000027,S13002479,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000164,S02000032,S13002481,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000165,S02000026,S13002482,S06000005,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000166,S02000029,S13002481,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000167,S02000030,S13002479,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000168,S02000030,S13002479,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000169,S02000028,S13002480,S06000002,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000170,S02000029,S13002481,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000171,S02000035,S13002478,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000172,S02000028,S13002480,S06000002,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000173,S02000028,S13002480,S06000002,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000174,S02000035,S13002478,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000175,S02000026,S13002480,S06000005,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000176,S02000032,S13002481,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000177,S02000033,S13002480,S06000005,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000178,S02000031,S13002479,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000179,S02000032,S13002481,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000180,S02000031,S13002479,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000181,S02000030,S13002479,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000182,S02000031,S13002479,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000183,S02000029,S13002481,S06000005,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000184,S02000033,S13002480,S06000007,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000185,S02000032,S13002481,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000186,S02000033,S13002480,S06000002,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000187,S02000030,S13002479,S06000002,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000188,S02000032,S13002481,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000189,S02000030,S13002479,S06000001,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000190,S02000031,S13002479,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000191,S02000033,S13002480,S06000007,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000192,S02000037,S13002481,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000193,S02000031,S13002479,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000194,S02000038,S13002480,S06000007,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000195,S02000036,S13002481,S06000005,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000196,S02000031,S13002479,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000197,S02000031,S13002479,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000198,S02000034,S13002479,S06000002,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000199,S02000038,S13002480,S06000007,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000200,S02000033,S13002480,S06000007,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000201,S02000033,S13002480,S06000002,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000202,S02000033,S13002480,S06000007,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000203,S02000036,S13002481,S06000005,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000204,S02000034,S13002479,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000205,S02000037,S13002481,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000206,S02000034,S13002479,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000207,S02000032,S13002481,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000208,S02000034,S13002479,S06000002,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000209,S02000034,S13002479,S06000002,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000210,S02000038,S13002480,S06000007,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000211,S02000036,S13002481,S06000005,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000212,S02000034,S13002479,S06000002,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000213,S02000038,S13002480,S06000007,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000214,S02000039,S13002476,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000215,S02000035,S13002478,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000216,S02000036,S13002481,S06000007,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000217,S02000036,S13002481,S06000005,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000218,S02000039,S13002476,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000219,S02000036,S13002481,S06000005,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000220,S02000037,S13002481,S06000004,S16000074,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000221,S02000038,S13002480,S06000007,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000222,S02000039,S13002476,S06000003,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000223,S02000039,S13002476,S06000002,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000224,S02000043,S13002476,S06000003,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000225,S02000041,S13002477,S06000004,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000226,S02000042,S13002477,S06000004,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000227,S02000040,S13002476,S06000005,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000228,S02000039,S13002476,S06000002,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000229,S02000043,S13002476,S06000003,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000230,S02000041,S13002477,S06000005,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000231,S02000040,S13002476,S06000007,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000232,S02000041,S13002477,S06000004,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000233,S02000041,S13002477,S06000005,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000234,S02000040,S13002476,S06000002,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000235,S02000040,S13002476,S06000007,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000236,S02000042,S13002477,S06000004,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000237,S02000043,S13002476,S06000003,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000238,S02000040,S13002476,S06000007,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000239,S02000042,S13002477,S06000004,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000240,S02000041,S13002477,S06000005,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000241,S02000044,S13002477,S06000005,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000242,S02000042,S13002477,S06000004,S16000075,S14000001,S03000012,S12000033,S05000001,S08000020,S92000003
S01000243,S02000041,S13002477,S06000005,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000244,S02000043,S13002476,S06000002,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000245,S02000044,S13002477,S06000005,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000246,S02000045,S13002477,S06000005,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000247,S02000044,S13002477,S06000005,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000248,S02000044,S13002477,S06000005,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000249,S02000046,S13002477,S06000004,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000250,S02000044,S13002477,S06000005,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
S01000251,S02000044,S13002477,S06000005,S16000075,S14000037,S03000012,S12000033,S05000001,S08000020,S92000003
